id,name,input,expected,observed,result
S1,Strict include filter,POST /v1/recommendations include_tags_any=['books'] for user_0003,All results belong to category/tag 'books'; zero leakage.,"Returned 15 items, all tagged 'books'.",PASS
S2,Hard exclude tag,"Create BLOCK rule on tag 'high_margin', request /v1/recommendations user_0001",No items tagged 'high_margin' appear in ranked list.,"Before block: ['item_0101', 'item_0210', 'item_0242', 'item_0019', 'item_0104', 'item_0203']; After block: []",PASS
S3,Boost monotonicity,Manual override boost +3.0 for item_0068 on surface home,Boosted item ranks higher (lower position number).,Target item_0068 moved from 2 to 0,PASS
S4,Diversity budget,Override mmr_lambda=0.0 vs default for user_0005,Higher diversity (lower similarity) with ≤30% NDCG loss.,Similarity 0.079 -> 0.057; NDCG 0.000 -> 0.150 (+0.00%).,PASS
S5,Pin position,PIN rule for item_0005 on surface home,Pinned item appears at requested top slot.,Target item rank=0; recommendation count=10,PASS
S6,Whitelist brand,/v1/recommendations include_tags_any=['acmetech'] user_0008,All items belong to brand 'AcmeTech'.,Returned 9 items; non-whitelisted=[],PASS
S7,Cold-start user,Call /v1/recommendations for real new_users segment sample,"Each list remains diverse (avg categories ≥4.0) and avg MRR ≥0.2, proving non-zero relevance.","users=10, evaluated=10, avg_mrr=0.250, avg_categories=5.60, min_items=10, thresholds(mrr=0.20, categories=4.00)",PASS
S8,New item exposure,Insert fresh item and measure exposure before/after boost,Boost controls increase exposure materially without manual data load.,"Baseline exposure=82%; Boosted exposure=90%; Boost policy: {'total_candidates': 313.375, 'explicit_exclude_hits': 0.0, 'recent_event_exclude_hits': 2.675, 'after_exclusions': 310.7, 'constraint_filtered_count': 0.0, 'after_constraint_filters': 310.7, 'rule_block_count': 0.0, 'rule_pin_count': 0.0, 'rule_boost_count': 1.0, 'rule_boost_injected': 0.025, 'rule_boost_exposure': 0.9, 'rule_pin_exposure': 0.0, 'after_rules': 310.725, 'final_count': 15.0, 'constraint_leak_count': 0.0}",PASS
S9,Multi-objective trade-off,Boost rule on tag 'high_margin' with varying boost_value,Higher boost lifts margin share while relevance drops smoothly.,"boost 0.0: margin=0.385, ndcg=0.110; boost 0.4: margin=0.399, ndcg=0.115; boost 0.8: margin=0.406, ndcg=0.106",PASS
S10,Explainability,Request recommendations with include_reasons=true & explain_level=full,"Response includes reasons, explain blocks, and model identifier.","model_version=popularity_v1, reasons=True, explain_blocks=True",PASS
